S3D
I=24,J=27,K=3
0.0, 0.0, 0.0, 1316.60205078
0.0, 10.0, 0.0, 1339.80505371
0.0, 20.0, 0.0, 1368.93798828
0.0, 30.0, 0.0, 1093.16394043
0.0, 40.0, 0.0, 818.42187500
0.0, 50.0, 0.0, 744.66412354
0.0, 60.0, 0.0, 805.27337646
0.0, 70.0, 0.0, 874.03118896
0.0, 80.0, 0.0, 941.19531250
0.0, 90.0, 0.0, 995.64062500
0.0, 100.0, 0.0, 1057.82800293
0.0, 110.0, 0.0, 1077.25000000
0.0, 120.0, 0.0, 1103.85900879
0.0, 130.0, 0.0, 1160.82800293
0.0, 140.0, 0.0, 1215.16394043
0.0, 150.0, 0.0, 1268.69494629
0.0, 160.0, 0.0, 1310.60900879
0.0, 170.0, 0.0, 1416.08605957
0.0, 180.0, 0.0, 1370.67199707
0.0, 190.0, 0.0, 1367.88305664
0.0, 200.0, 0.0, 1354.76599121
0.0, 210.0, 0.0, 1458.25805664
0.0, 220.0, 0.0, 1447.41394043
0.0, 230.0, 0.0, 1347.09399414
0.0, 240.0, 0.0, 1355.85205078
0.0, 250.0, 0.0, 1360.16394043
0.0, 260.0, 0.0, 1352.71899414
10.0, 0.0, 0.0, 1389.50805664
10.0, 10.0, 0.0, 1339.51599121
10.0, 20.0, 0.0, 1229.60900879
10.0, 30.0, 0.0, 1090.19494629
10.0, 40.0, 0.0, 845.17187500
10.0, 50.0, 0.0, 803.61718750
10.0, 60.0, 0.0, 850.65618896
10.0, 70.0, 0.0, 903.74218750
10.0, 80.0, 0.0, 1000.02301025
10.0, 90.0, 0.0, 1110.39794922
10.0, 100.0, 0.0, 1185.81994629
10.0, 110.0, 0.0, 1257.82800293
10.0, 120.0, 0.0, 1319.56201172
10.0, 130.0, 0.0, 1349.25805664
10.0, 140.0, 0.0, 1395.27294922
10.0, 150.0, 0.0, 1412.06201172
10.0, 160.0, 0.0, 1428.65600586
10.0, 170.0, 0.0, 1433.74194336
10.0, 180.0, 0.0, 1450.78894043
10.0, 190.0, 0.0, 1521.93798828
10.0, 200.0, 0.0, 1470.14794922
10.0, 210.0, 0.0, 1494.45300293
10.0, 220.0, 0.0, 1474.34399414
10.0, 230.0, 0.0, 1442.25805664
10.0, 240.0, 0.0, 1437.75000000
10.0, 250.0, 0.0, 1435.68798828
10.0, 260.0, 0.0, 1449.76599121
20.0, 0.0, 0.0, 1372.87500000
20.0, 10.0, 0.0, 1236.00000000
20.0, 20.0, 0.0, 1228.00805664
20.0, 30.0, 0.0, 1205.44494629
20.0, 40.0, 0.0, 786.03118896
20.0, 50.0, 0.0, 856.20312500
20.0, 60.0, 0.0, 892.25781250
20.0, 70.0, 0.0, 996.07812500
20.0, 80.0, 0.0, 1073.60205078
20.0, 90.0, 0.0, 1173.96105957
20.0, 100.0, 0.0, 1239.35205078
20.0, 110.0, 0.0, 1293.74194336
20.0, 120.0, 0.0, 1343.42199707
20.0, 130.0, 0.0, 1388.95300293
20.0, 140.0, 0.0, 1413.79699707
20.0, 150.0, 0.0, 1437.63305664
20.0, 160.0, 0.0, 1469.53100586
20.0, 170.0, 0.0, 1480.68798828
20.0, 180.0, 0.0, 1505.21105957
20.0, 190.0, 0.0, 1547.53894043
20.0, 200.0, 0.0, 1589.45300293
20.0, 210.0, 0.0, 1626.78894043
20.0, 220.0, 0.0, 1587.78894043
20.0, 230.0, 0.0, 1534.81994629
20.0, 240.0, 0.0, 1500.65600586
20.0, 250.0, 0.0, 1495.89794922
20.0, 260.0, 0.0, 1513.43798828
30.0, 0.0, 0.0, 1252.00805664
30.0, 10.0, 0.0, 1082.03100586
30.0, 20.0, 0.0, 1081.03894043
30.0, 30.0, 0.0, 1132.43005371
30.0, 40.0, 0.0, 654.40618896
30.0, 50.0, 0.0, 858.80468750
30.0, 60.0, 0.0, 945.27337646
30.0, 70.0, 0.0, 1029.44494629
30.0, 80.0, 0.0, 1144.55505371
30.0, 90.0, 0.0, 1251.54699707
30.0, 100.0, 0.0, 1308.97705078
30.0, 110.0, 0.0, 1332.90600586
30.0, 120.0, 0.0, 1387.46899414
30.0, 130.0, 0.0, 1427.62500000
30.0, 140.0, 0.0, 1468.80505371
30.0, 150.0, 0.0, 1500.04699707
30.0, 160.0, 0.0, 1530.33605957
30.0, 170.0, 0.0, 1539.28894043
30.0, 180.0, 0.0, 1557.37500000
30.0, 190.0, 0.0, 1625.26599121
30.0, 200.0, 0.0, 1668.47705078
30.0, 210.0, 0.0, 1711.81201172
30.0, 220.0, 0.0, 1705.28894043
30.0, 230.0, 0.0, 1673.55505371
30.0, 240.0, 0.0, 1577.39099121
30.0, 250.0, 0.0, 1580.11694336
30.0, 260.0, 0.0, 1585.96105957
40.0, 0.0, 0.0, 1056.11694336
40.0, 10.0, 0.0, 905.45312500
40.0, 20.0, 0.0, 891.32812500
40.0, 30.0, 0.0, 701.91412354
40.0, 40.0, 0.0, 690.33587646
40.0, 50.0, 0.0, 839.15618896
40.0, 60.0, 0.0, 1019.03900146
40.0, 70.0, 0.0, 1140.02294922
40.0, 80.0, 0.0, 1182.32800293
40.0, 90.0, 0.0, 1316.67199707
40.0, 100.0, 0.0, 1396.15600586
40.0, 110.0, 0.0, 1421.99194336
40.0, 120.0, 0.0, 1450.55505371
40.0, 130.0, 0.0, 1483.94494629
40.0, 140.0, 0.0, 1527.22705078
40.0, 150.0, 0.0, 1567.89099121
40.0, 160.0, 0.0, 1613.15600586
40.0, 170.0, 0.0, 1638.05505371
40.0, 180.0, 0.0, 1642.96899414
40.0, 190.0, 0.0, 1684.78894043
40.0, 200.0, 0.0, 1703.50805664
40.0, 210.0, 0.0, 1761.90600586
40.0, 220.0, 0.0, 1772.61694336
40.0, 230.0, 0.0, 1730.56201172
40.0, 240.0, 0.0, 1693.93005371
40.0, 250.0, 0.0, 1684.58605957
40.0, 260.0, 0.0, 1657.84399414
50.0, 0.0, 0.0, 922.93750000
50.0, 10.0, 0.0, 1053.58605957
50.0, 20.0, 0.0, 1007.71099854
50.0, 30.0, 0.0, 833.23437500
50.0, 40.0, 0.0, 804.91412354
50.0, 50.0, 0.0, 918.46881104
50.0, 60.0, 0.0, 976.99218750
50.0, 70.0, 0.0, 1088.67199707
50.0, 80.0, 0.0, 1234.62500000
50.0, 90.0, 0.0, 1247.18005371
50.0, 100.0, 0.0, 1447.89099121
50.0, 110.0, 0.0, 1481.70300293
50.0, 120.0, 0.0, 1526.31994629
50.0, 130.0, 0.0, 1511.25000000
50.0, 140.0, 0.0, 1560.35900879
50.0, 150.0, 0.0, 1633.54699707
50.0, 160.0, 0.0, 1692.15600586
50.0, 170.0, 0.0, 1721.92199707
50.0, 180.0, 0.0, 1712.60900879
50.0, 190.0, 0.0, 1705.35900879
50.0, 200.0, 0.0, 1735.89099121
50.0, 210.0, 0.0, 1798.21105957
50.0, 220.0, 0.0, 1812.39099121
50.0, 230.0, 0.0, 1788.31994629
50.0, 240.0, 0.0, 1771.70300293
