S3D
I=4,J=5,K=3
0.0, 0.0, 0.0, 0.00474374
0.0, 60.0, 0.0, 0.01571931
0.0, 120.0, 0.0, 0.01571238
0.0, 180.0, 0.0, 0.01559628
0.0, 240.0, 0.0, 0.01560289
60.0, 0.0, 0.0, 0.00281140
60.0, 60.0, 0.0, 0.01240270
60.0, 120.0, 0.0, 0.00932294
60.0, 180.0, 0.0, 0.00881248
60.0, 240.0, 0.0, 0.01246723
120.0, 0.0, 0.0, 0.00376458
120.0, 60.0, 0.0, 0.00285062
120.0, 120.0, 0.0, 0.00254247
120.0, 180.0, 0.0, 0.00321845
120.0, 240.0, 0.0, 0.00518144
180.0, 0.0, 0.0, 0.00186375
180.0, 60.0, 0.0, 0.00238861
180.0, 120.0, 0.0, 0.00186423
180.0, 180.0, 0.0, 0.00272344
180.0, 240.0, 0.0, 0.00152339
0.0, 0.0, 10.0, 0.00188148
0.0, 60.0, 10.0, 0.00606898
0.0, 120.0, 10.0, 0.00856330
0.0, 180.0, 10.0, 0.00811575
0.0, 240.0, 10.0, 0.00867077
60.0, 0.0, 10.0, 0.00235849
60.0, 60.0, 10.0, 0.00925590
60.0, 120.0, 10.0, 0.00380639
60.0, 180.0, 10.0, 0.00243366
60.0, 240.0, 10.0, 0.00436059
120.0, 0.0, 10.0, 0.00271020
120.0, 60.0, 10.0, 0.00260716
120.0, 120.0, 10.0, 0.00136047
120.0, 180.0, 10.0, 0.00147739
120.0, 240.0, 10.0, 0.00318387
180.0, 0.0, 10.0, 0.00087886
180.0, 60.0, 10.0, 0.00131864
180.0, 120.0, 10.0, 0.00061733
180.0, 180.0, 10.0, 0.00125013
180.0, 240.0, 10.0, 0.00060223
0.0, 0.0, 20.0, 0.00011336
0.0, 60.0, 20.0, 0.00048426
0.0, 120.0, 20.0, 0.00124306
0.0, 180.0, 20.0, 0.00053745
0.0, 240.0, 20.0, 0.00019580
60.0, 0.0, 20.0, 0.00003196
60.0, 60.0, 20.0, 0.00074092
60.0, 120.0, 20.0, 0.00092667
60.0, 180.0, 20.0, 0.00117545
60.0, 240.0, 20.0, 0.00064205
120.0, 0.0, 20.0, 0.00008486
120.0, 60.0, 20.0, 0.00049611
120.0, 120.0, 20.0, 0.00040840
120.0, 180.0, 20.0, 0.00039228
120.0, 240.0, 20.0, 0.00067689
180.0, 0.0, 20.0, 0.00002386
180.0, 60.0, 20.0, 0.00008789
180.0, 120.0, 20.0, 0.00009456
180.0, 180.0, 20.0, 0.00006535
180.0, 240.0, 20.0, 0.00005094
