S3D
I=20,J=23,K=10
0.0, 0.0, 0.0, 0.00474374
0.0, 12.0, 0.0, 0.00437796
0.0, 24.0, 0.0, 0.00548676
0.0, 36.0, 0.0, 0.01448395
0.0, 48.0, 0.0, 0.01462570
0.0, 60.0, 0.0, 0.01571931
0.0, 72.0, 0.0, 0.01586821
0.0, 84.0, 0.0, 0.01575444
0.0, 96.0, 0.0, 0.01518297
0.0, 108.0, 0.0, 0.01560503
0.0, 120.0, 0.0, 0.01571238
0.0, 132.0, 0.0, 0.01540922
0.0, 144.0, 0.0, 0.01632733
0.0, 156.0, 0.0, 0.01590221
0.0, 168.0, 0.0, 0.01505409
0.0, 180.0, 0.0, 0.01559628
0.0, 192.0, 0.0, 0.01489055
0.0, 204.0, 0.0, 0.01207869
0.0, 216.0, 0.0, 0.01446080
0.0, 228.0, 0.0, 0.01562391
0.0, 240.0, 0.0, 0.01560289
0.0, 252.0, 0.0, 0.01514756
0.0, 264.0, 0.0, 0.01600780
12.0, 0.0, 0.0, 0.00450593
12.0, 12.0, 0.0, 0.00435861
12.0, 24.0, 0.0, 0.01109761
12.0, 36.0, 0.0, 0.01396929
12.0, 48.0, 0.0, 0.01578219
12.0, 60.0, 0.0, 0.01549340
12.0, 72.0, 0.0, 0.01546547
12.0, 84.0, 0.0, 0.01498984
12.0, 96.0, 0.0, 0.01478772
12.0, 108.0, 0.0, 0.01517701
12.0, 120.0, 0.0, 0.01513616
12.0, 132.0, 0.0, 0.01550910
12.0, 144.0, 0.0, 0.01346556
12.0, 156.0, 0.0, 0.01426384
12.0, 168.0, 0.0, 0.01479532
12.0, 180.0, 0.0, 0.01570360
12.0, 192.0, 0.0, 0.01464726
12.0, 204.0, 0.0, 0.01547782
12.0, 216.0, 0.0, 0.01553481
12.0, 228.0, 0.0, 0.01482396
12.0, 240.0, 0.0, 0.01378251
12.0, 252.0, 0.0, 0.01373609
12.0, 264.0, 0.0, 0.01438148
24.0, 0.0, 0.0, 0.00370303
24.0, 12.0, 0.0, 0.00387924
24.0, 24.0, 0.0, 0.00987497
24.0, 36.0, 0.0, 0.01256065
24.0, 48.0, 0.0, 0.01544679
24.0, 60.0, 0.0, 0.01535594
24.0, 72.0, 0.0, 0.01538873
24.0, 84.0, 0.0, 0.01463291
24.0, 96.0, 0.0, 0.01448148
24.0, 108.0, 0.0, 0.01488591
24.0, 120.0, 0.0, 0.01416041
24.0, 132.0, 0.0, 0.01429463
24.0, 144.0, 0.0, 0.01263652
24.0, 156.0, 0.0, 0.01235488
24.0, 168.0, 0.0, 0.01372433
24.0, 180.0, 0.0, 0.01439584
24.0, 192.0, 0.0, 0.01484132
24.0, 204.0, 0.0, 0.01414584
24.0, 216.0, 0.0, 0.01474889
24.0, 228.0, 0.0, 0.01449323
24.0, 240.0, 0.0, 0.01371421
24.0, 252.0, 0.0, 0.01283664
24.0, 264.0, 0.0, 0.01261032
36.0, 0.0, 0.0, 0.00314055
36.0, 12.0, 0.0, 0.00330957
36.0, 24.0, 0.0, 0.00372903
36.0, 36.0, 0.0, 0.01443742
36.0, 48.0, 0.0, 0.01513671
36.0, 60.0, 0.0, 0.01505326
36.0, 72.0, 0.0, 0.01462086
36.0, 84.0, 0.0, 0.01406381
36.0, 96.0, 0.0, 0.01371351
36.0, 108.0, 0.0, 0.01367455
36.0, 120.0, 0.0, 0.01374723
36.0, 132.0, 0.0, 0.01349490
36.0, 144.0, 0.0, 0.01277591
36.0, 156.0, 0.0, 0.01243790
36.0, 168.0, 0.0, 0.01251590
36.0, 180.0, 0.0, 0.01165400
36.0, 192.0, 0.0, 0.01142390
36.0, 204.0, 0.0, 0.01298052
36.0, 216.0, 0.0, 0.01366347
36.0, 228.0, 0.0, 0.01469510
36.0, 240.0, 0.0, 0.01410148
36.0, 252.0, 0.0, 0.01260588
36.0, 264.0, 0.0, 0.01216398
48.0, 0.0, 0.0, 0.00292321
48.0, 12.0, 0.0, 0.00885777
48.0, 24.0, 0.0, 0.01158064
48.0, 36.0, 0.0, 0.01368136
48.0, 48.0, 0.0, 0.01451743
48.0, 60.0, 0.0, 0.01452805
48.0, 72.0, 0.0, 0.01350001
48.0, 84.0, 0.0, 0.01268103
48.0, 96.0, 0.0, 0.01231593
48.0, 108.0, 0.0, 0.01245780
48.0, 120.0, 0.0, 0.01212861
48.0, 132.0, 0.0, 0.01256935
48.0, 144.0, 0.0, 0.01099737
48.0, 156.0, 0.0, 0.01142388
48.0, 168.0, 0.0, 0.01101161
48.0, 180.0, 0.0, 0.00946204
48.0, 192.0, 0.0, 0.00821589
48.0, 204.0, 0.0, 0.01205090
48.0, 216.0, 0.0, 0.01127859
48.0, 228.0, 0.0, 0.01234646
48.0, 240.0, 0.0, 0.01430395
48.0, 252.0, 0.0, 0.01277960
48.0, 264.0, 0.0, 0.01194618
60.0, 0.0, 0.0, 0.00281140
60.0, 12.0, 0.0, 0.00881204
60.0, 24.0, 0.0, 0.01153544
60.0, 36.0, 0.0, 0.01193559
60.0, 48.0, 0.0, 0.01252433
60.0, 60.0, 0.0, 0.01273834
60.0, 72.0, 0.0, 0.01093351
60.0, 84.0, 0.0, 0.01088649
60.0, 96.0, 0.0, 0.01004554
60.0, 108.0, 0.0, 0.00989767
60.0, 120.0, 0.0, 0.00943065
60.0, 132.0, 0.0, 0.00886550
60.0, 144.0, 0.0, 0.00856692
60.0, 156.0, 0.0, 0.00873923
60.0, 168.0, 0.0, 0.00830865
60.0, 180.0, 0.0, 0.00889313
60.0, 192.0, 0.0, 0.01200273
60.0, 204.0, 0.0, 0.01317070
60.0, 216.0, 0.0, 0.01265052
60.0, 228.0, 0.0, 0.01321748
60.0, 240.0, 0.0, 0.01368489
60.0, 252.0, 0.0, 0.01371791
60.0, 264.0, 0.0, 0.01268279
72.0, 0.0, 0.0, 0.00268177
72.0, 12.0, 0.0, 0.00845246
72.0, 24.0, 0.0, 0.00968640
72.0, 36.0, 0.0, 0.00838673
72.0, 48.0, 0.0, 0.00741568
72.0, 60.0, 0.0, 0.00735773
72.0, 72.0, 0.0, 0.00578255
72.0, 84.0, 0.0, 0.00565486
72.0, 96.0, 0.0, 0.00542473
72.0, 108.0, 0.0, 0.00536139
72.0, 120.0, 0.0, 0.00601117
72.0, 132.0, 0.0, 0.00532228
72.0, 144.0, 0.0, 0.00538499
72.0, 156.0, 0.0, 0.00433582
72.0, 168.0, 0.0, 0.00577148
72.0, 180.0, 0.0, 0.00480234
72.0, 192.0, 0.0, 0.00749776
72.0, 204.0, 0.0, 0.00841494
72.0, 216.0, 0.0, 0.00986013
72.0, 228.0, 0.0, 0.01055528
72.0, 240.0, 0.0, 0.01120188
72.0, 252.0, 0.0, 0.01254533
72.0, 264.0, 0.0, 0.01392844
84.0, 0.0, 0.0, 0.00289162
84.0, 12.0, 0.0, 0.00691761
84.0, 24.0, 0.0, 0.00647343
84.0, 36.0, 0.0, 0.00620535
84.0, 48.0, 0.0, 0.00510592
84.0, 60.0, 0.0, 0.00552728
84.0, 72.0, 0.0, 0.00494304
84.0, 84.0, 0.0, 0.00506815
84.0, 96.0, 0.0, 0.00429270
84.0, 108.0, 0.0, 0.00438110
84.0, 120.0, 0.0, 0.00390784
84.0, 132.0, 0.0, 0.00388028
84.0, 144.0, 0.0, 0.00414531
84.0, 156.0, 0.0, 0.00354255
84.0, 168.0, 0.0, 0.00429142
84.0, 180.0, 0.0, 0.00396120
84.0, 192.0, 0.0, 0.00552783
84.0, 204.0, 0.0, 0.00585364
84.0, 216.0, 0.0, 0.00690727
84.0, 228.0, 0.0, 0.00849012
84.0, 240.0, 0.0, 0.00954215
84.0, 252.0, 0.0, 0.01050625
84.0, 264.0, 0.0, 0.01258698
96.0, 0.0, 0.0, 0.00361563
96.0, 12.0, 0.0, 0.00442327
96.0, 24.0, 0.0, 0.00453686
96.0, 36.0, 0.0, 0.00487255
96.0, 48.0, 0.0, 0.00499662
96.0, 60.0, 0.0, 0.00530350
96.0, 72.0, 0.0, 0.00497712
96.0, 84.0, 0.0, 0.00475190
96.0, 96.0, 0.0, 0.00421839
96.0, 108.0, 0.0, 0.00378226
96.0, 120.0, 0.0, 0.00327726
96.0, 132.0, 0.0, 0.00346147
96.0, 144.0, 0.0, 0.00322030
96.0, 156.0, 0.0, 0.00324873
96.0, 168.0, 0.0, 0.00356857
96.0, 180.0, 0.0, 0.00416264
96.0, 192.0, 0.0, 0.00536379
96.0, 204.0, 0.0, 0.00622106
96.0, 216.0, 0.0, 0.00647703
96.0, 228.0, 0.0, 0.00740334
96.0, 240.0, 0.0, 0.00840064
96.0, 252.0, 0.0, 0.00906541
96.0, 264.0, 0.0, 0.01030512
108.0, 0.0, 0.0, 0.00391659
108.0, 12.0, 0.0, 0.00355207
108.0, 24.0, 0.0, 0.00349291
108.0, 36.0, 0.0, 0.00388749
108.0, 48.0, 0.0, 0.00438409
108.0, 60.0, 0.0, 0.00431971
108.0, 72.0, 0.0, 0.00410092
108.0, 84.0, 0.0, 0.00301694
108.0, 96.0, 0.0, 0.00251422
108.0, 108.0, 0.0, 0.00264816
108.0, 120.0, 0.0, 0.00278653
108.0, 132.0, 0.0, 0.00287229
108.0, 144.0, 0.0, 0.00280385
108.0, 156.0, 0.0, 0.00288047
108.0, 168.0, 0.0, 0.00312533
108.0, 180.0, 0.0, 0.00302446
108.0, 192.0, 0.0, 0.00380099
108.0, 204.0, 0.0, 0.00436154
108.0, 216.0, 0.0, 0.00466072
108.0, 228.0, 0.0, 0.00496566
108.0, 240.0, 0.0, 0.00623922
108.0, 252.0, 0.0, 0.00780728
108.0, 264.0, 0.0, 0.00928351
120.0, 0.0, 0.0, 0.00376458
120.0, 12.0, 0.0, 0.00358640
120.0, 24.0, 0.0, 0.00276733
120.0, 36.0, 0.0, 0.00247726
120.0, 48.0, 0.0, 0.00267156
120.0, 60.0, 0.0, 0.00280875
120.0, 72.0, 0.0, 0.00285572
120.0, 84.0, 0.0, 0.00275309
120.0, 96.0, 0.0, 0.00264841
120.0, 108.0, 0.0, 0.00267703
120.0, 120.0, 0.0, 0.00256481
120.0, 132.0, 0.0, 0.00245484
120.0, 144.0, 0.0, 0.00251221
120.0, 156.0, 0.0, 0.00286333
120.0, 168.0, 0.0, 0.00277619
120.0, 180.0, 0.0, 0.00321805
120.0, 192.0, 0.0, 0.00303039
120.0, 204.0, 0.0, 0.00328625
120.0, 216.0, 0.0, 0.00279141
120.0, 228.0, 0.0, 0.00495246
120.0, 240.0, 0.0, 0.00509032
120.0, 252.0, 0.0, 0.00539816
120.0, 264.0, 0.0, 0.00611992
132.0, 0.0, 0.0, 0.00357921
132.0, 12.0, 0.0, 0.00407536
132.0, 24.0, 0.0, 0.00364580
132.0, 36.0, 0.0, 0.00324080
132.0, 48.0, 0.0, 0.00298075
132.0, 60.0, 0.0, 0.00309447
132.0, 72.0, 0.0, 0.00316690
132.0, 84.0, 0.0, 0.00224910
132.0, 96.0, 0.0, 0.00212362
132.0, 108.0, 0.0, 0.00232815
132.0, 120.0, 0.0, 0.00269043
132.0, 132.0, 0.0, 0.00252782
132.0, 144.0, 0.0, 0.00250973
132.0, 156.0, 0.0, 0.00279153
132.0, 168.0, 0.0, 0.00320956
132.0, 180.0, 0.0, 0.00291591
132.0, 192.0, 0.0, 0.00291570
132.0, 204.0, 0.0, 0.00265360
132.0, 216.0, 0.0, 0.00335245
132.0, 228.0, 0.0, 0.00315879
132.0, 240.0, 0.0, 0.00353931
132.0, 252.0, 0.0, 0.00410433
132.0, 264.0, 0.0, 0.00465575
144.0, 0.0, 0.0, 0.00285414
144.0, 12.0, 0.0, 0.00381388
144.0, 24.0, 0.0, 0.00341639
144.0, 36.0, 0.0, 0.00304905
144.0, 48.0, 0.0, 0.00322303
144.0, 60.0, 0.0, 0.00297360
144.0, 72.0, 0.0, 0.00247678
144.0, 84.0, 0.0, 0.00230975
144.0, 96.0, 0.0, 0.00215331
144.0, 108.0, 0.0, 0.00210351
144.0, 120.0, 0.0, 0.00238088
144.0, 132.0, 0.0, 0.00256147
144.0, 144.0, 0.0, 0.00274298
144.0, 156.0, 0.0, 0.00295030
144.0, 168.0, 0.0, 0.00308255
144.0, 180.0, 0.0, 0.00311336
144.0, 192.0, 0.0, 0.00247848
144.0, 204.0, 0.0, 0.00265757
144.0, 216.0, 0.0, 0.00227875
144.0, 228.0, 0.0, 0.00235743
144.0, 240.0, 0.0, 0.00287239
144.0, 252.0, 0.0, 0.00365477
144.0, 264.0, 0.0, 0.00423229
156.0, 0.0, 0.0, 0.00207056
156.0, 12.0, 0.0, 0.00357483
156.0, 24.0, 0.0, 0.00348743
156.0, 36.0, 0.0, 0.00316633
156.0, 48.0, 0.0, 0.00332256
156.0, 60.0, 0.0, 0.00270393
156.0, 72.0, 0.0, 0.00187430
156.0, 84.0, 0.0, 0.00163239
156.0, 96.0, 0.0, 0.00168223
156.0, 108.0, 0.0, 0.00192699
156.0, 120.0, 0.0, 0.00209781
156.0, 132.0, 0.0, 0.00239965
156.0, 144.0, 0.0, 0.00271643
156.0, 156.0, 0.0, 0.00283469
156.0, 168.0, 0.0, 0.00274254
156.0, 180.0, 0.0, 0.00254240
156.0, 192.0, 0.0, 0.00223152
156.0, 204.0, 0.0, 0.00214370
156.0, 216.0, 0.0, 0.00211209
156.0, 228.0, 0.0, 0.00218999
156.0, 240.0, 0.0, 0.00228924
156.0, 252.0, 0.0, 0.00279072
156.0, 264.0, 0.0, 0.00352691
168.0, 0.0, 0.0, 0.00176473
168.0, 12.0, 0.0, 0.00192572
168.0, 24.0, 0.0, 0.00273790
168.0, 36.0, 0.0, 0.00273677
168.0, 48.0, 0.0, 0.00262743
168.0, 60.0, 0.0, 0.00253184
168.0, 72.0, 0.0, 0.00188897
168.0, 84.0, 0.0, 0.00141016
168.0, 96.0, 0.0, 0.00143734
168.0, 108.0, 0.0, 0.00166665
168.0, 120.0, 0.0, 0.00200054
168.0, 132.0, 0.0, 0.00251662
168.0, 144.0, 0.0, 0.00292398
168.0, 156.0, 0.0, 0.00287820
168.0, 168.0, 0.0, 0.00286563
168.0, 180.0, 0.0, 0.00266344
168.0, 192.0, 0.0, 0.00235321
168.0, 204.0, 0.0, 0.00230744
168.0, 216.0, 0.0, 0.00211027
168.0, 228.0, 0.0, 0.00185249
168.0, 240.0, 0.0, 0.00196594
168.0, 252.0, 0.0, 0.00233424
168.0, 264.0, 0.0, 0.00291212
180.0, 0.0, 0.0, 0.00186375
180.0, 12.0, 0.0, 0.00170992
180.0, 24.0, 0.0, 0.00234213
180.0, 36.0, 0.0, 0.00247721
180.0, 48.0, 0.0, 0.00286602
180.0, 60.0, 0.0, 0.00230265
180.0, 72.0, 0.0, 0.00190664
180.0, 84.0, 0.0, 0.00172729
180.0, 96.0, 0.0, 0.00161053
180.0, 108.0, 0.0, 0.00153637
180.0, 120.0, 0.0, 0.00186246
180.0, 132.0, 0.0, 0.00239860
180.0, 144.0, 0.0, 0.00222058
180.0, 156.0, 0.0, 0.00245918
180.0, 168.0, 0.0, 0.00218007
180.0, 180.0, 0.0, 0.00255172
180.0, 192.0, 0.0, 0.00274490
180.0, 204.0, 0.0, 0.00235045
180.0, 216.0, 0.0, 0.00203921
180.0, 228.0, 0.0, 0.00172093
180.0, 240.0, 0.0, 0.00152371
180.0, 252.0, 0.0, 0.00197080
180.0, 264.0, 0.0, 0.00245810
192.0, 0.0, 0.0, 0.00136825
192.0, 12.0, 0.0, 0.00136612
192.0, 24.0, 0.0, 0.00173092
192.0, 36.0, 0.0, 0.00194058
192.0, 48.0, 0.0, 0.00196375
192.0, 60.0, 0.0, 0.00235760
192.0, 72.0, 0.0, 0.00207477
192.0, 84.0, 0.0, 0.00178059
192.0, 96.0, 0.0, 0.00160056
192.0, 108.0, 0.0, 0.00167752
192.0, 120.0, 0.0, 0.00177466
192.0, 132.0, 0.0, 0.00181972
192.0, 144.0, 0.0, 0.00167129
192.0, 156.0, 0.0, 0.00187625
192.0, 168.0, 0.0, 0.00200715
192.0, 180.0, 0.0, 0.00196241
192.0, 192.0, 0.0, 0.00177281
192.0, 204.0, 0.0, 0.00175110
192.0, 216.0, 0.0, 0.00180347
192.0, 228.0, 0.0, 0.00155396
192.0, 240.0, 0.0, 0.00141659
192.0, 252.0, 0.0, 0.00148030
192.0, 264.0, 0.0, 0.00239699
204.0, 0.0, 0.0, 0.00130630
204.0, 12.0, 0.0, 0.00164669
204.0, 24.0, 0.0, 0.00192362
204.0, 36.0, 0.0, 0.00191332
204.0, 48.0, 0.0, 0.00235651
204.0, 60.0, 0.0, 0.00244668
204.0, 72.0, 0.0, 0.00222926
